supermarket,size,vacuum,brand
REWE,V05,BS 1226,CLATRONIC
REWE,V05,BS 1227,CLATRONIC
REWE,V05,BS 1232,CLATRONIC
REWE,V05,BS 1233,CLATRONIC
REWE,V05,BS 1235,CLATRONIC
REWE,V05,BS 1237,CLATRONIC
REWE,V05,BS 1238,CLATRONIC
REWE,V05,BS 1243,CLATRONIC
REWE,V05,BS 1245,CLATRONIC
REWE,V05,BS 1246,CLATRONIC
REWE,V05,BS 1254,CLATRONIC
REWE,V05,BS 1257 (08/2007 bis ),CLATRONIC
REWE,V05,BS 1262,CLATRONIC
REWE,V05,BS 1266,CLATRONIC
REWE,V05,BS 1267,CLATRONIC
REWE,V05,BS 1268,CLATRONIC
REWE,V05,BS 1271,CLATRONIC
REWE,V05,BS 1274,CLATRONIC
REWE,V05,BS 1279 (>C),CLATRONIC
REWE,V05,BS 1288,CLATRONIC
REWE,V05,BS 1292,CLATRONIC
REWE,V05,BS 1296,CLATRONIC
REWE,V05,BS 1301,CLATRONIC
REWE,V05,BS 900 EST,CLATRONIC
REWE,V05,BS 901 EST,CLATRONIC
REWE,V05,BSS 1600,CLATRONIC
REWE,V05,Weasel BS 900,CLATRONIC
REWE,V05,Duo Express JC611-200,CLATRONIC
REWE,V05,Eco Line (1159),CLATRONIC
REWE,V05,Effizient Plus,CLATRONIC
REWE,V05,Energy Plus - 8924,CLATRONIC
REWE,V05,KPA11E-2,CLATRONIC
REWE,V05,2189,CLATRONIC
REWE,V05,"VP 9141, 9151",CONCEPT
REWE,V05,VP 9711 bis 9713,CONCEPT
REWE,V05,VC-H 4201,CONDEL
REWE,V02,VC 6C1600,TRUCTA
REWE,V05,RC-105,DAEWOO
REWE,V05,RC-105 D,DAEWOO
REWE,V05,RC-107,DAEWOO
REWE,V05,RC-108,DAEWOO
REWE,V05,RC-170,DAEWOO
REWE,V05,RC-190,DAEWOO
REWE,V05,RC-190(K),DAEWOO
REWE,V05,RC-2006,DAEWOO
REWE,V05,RC-205,DAEWOO
REWE,V05,RC-205 D,DAEWOO
REWE,V05,RC-209,DAEWOO
REWE,V05,RC-209 D,DAEWOO
REWE,V05,RC-2500,DAEWOO
REWE,V05,RC-406,DAEWOO
REWE,V05,RC-407,DAEWOO
REWE,V05,RC-450,DAEWOO
REWE,V05,RC-5000 HM,DAEWOO
REWE,V05,RC-550,DAEWOO
REWE,V05,RC-605,DAEWOO
REWE,V05,RC-605 D,DAEWOO
REWE,V05,RC-609,DAEWOO
REWE,V05,RC-609 D,DAEWOO
REWE,V05,RC-705 D,DAEWOO
REWE,V05,RC-805 A,DAEWOO
REWE,V05,RCG 100 (>C),DAEWOO
REWE,V05,"QZ 11 B, QZ 12 B, Z (>B)",DAREL
REWE,V05,QZ 12 Z,DAREL
REWE,V05,XTD 2040,DAREL
REWE,V05,XTD 2050 E,DAREL
REWE,V05,XTD 2060 E,DAREL
REWE,V05,XTD 2065 E,DAREL
REWE,V05,XTD 2070 E,DAREL
REWE,V05,XTD 3070 E,DAREL
REWE,V05,XTD 3071 E,DAREL
REWE,V05,XTD 3080 E/ET,DAREL
REWE,V05,XTD 3081 E/ET,DAREL
REWE,V05,XTD 3095 E,DAREL
REWE,V05,XTD 3096 E,DAREL
REWE,V05,XTH 170 E (>B),DAREL
REWE,V05,XTH 180 E (>B),DAREL
REWE,V05,XTH 200 E Cleos (>B),DAREL
REWE,V05,XTH 210 (>B),DAREL
REWE,V05,XTL 190 PE Xlence,DAREL
REWE,V05,XTL 210 PE Xlence,DAREL
REWE,V05,XTL 212 PET Xlence,DAREL
REWE,V05,XTL 220 Serie Xlence,DAREL
REWE,V05,5073251,DESINA
REWE,V05,1600 E Titan/Silber,DESINA
REWE,V03,"BSS 1302 E, blau Max Mobil",DESINA
REWE,V05,BSS 1400 E blau metallic Max Mobil,DESINA
REWE,V05,"BSS 1400 E, blau metallic Max Mobil",DESINA
REWE,V05,BSS 1400 rot Max Mobil,DESINA
REWE,V05,"BSS 1400 space, silber Max Mobil",DESINA
REWE,V05,BSS 1401 E compact,DESINA
REWE,V05,BSS 1601 E compact,DESINA
REWE,V05,BSS duo 2000,DESINA
REWE,V05,BSS Green Line Silence,DESINA
REWE,V05,BSS Max Mobil 1400 rot,DESINA
REWE,V05,BSS Red Line,DESINA
REWE,V05,BSS Remote 1800,DESINA
REWE,V05,BSS silence 1800 W,DESINA
REWE,V05,BSS Wave 1400,DESINA
REWE,V05,CH 108 1400 W,DESINA
REWE,V05,CH 806,DESINA
REWE,V03,Diamant 300,DESINA
REWE,V02,Hippo,DESINA
REWE,V05,JC 861 E,DESINA
REWE,V05,JC 862 E,DESINA
REWE,V05,Max mobil 1600 duo,DESINA
REWE,V05,Max mobil power 1600 E,DESINA
REWE,V02,VC 202,DESINA
REWE,V05,VC 9902 E,DESINA
REWE,V05,ZW 1012,DESINA
REWE,V05,BG-1 M 3200,DESINA
REWE,V05,BG-2 M 3210,DESINA
REWE,V05,DD 3201,DESINA
REWE,V05,DD 3274,DESINA
REWE,V05,DD 7014 Beat,DESINA
REWE,V05,DD 7014 Popster,DESINA
REWE,V05,DD 7070 - Rebel 72,DESINA
REWE,V05,DD 7071 - Rebel 73,DESINA
REWE,V05,DD 7114 - Capoera,DESINA
REWE,V05,DD 7274 - Rebel 74,DESINA
REWE,V05,DD 7275 - Rebel 75,DESINA
REWE,V05,DD 7374 - Beat,DESINA
REWE,V05,DD 7374 - Popster,DESINA
REWE,V05,DD 7375 - Capoera,DESINA
REWE,V05,DD 7700 - Rebel 70,DESINA
REWE,V05,DD 7710 - Rebel 71,DESINA
REWE,V05,DD 7770 - Rebel 77,DESINA
REWE,V05,M 1405 Powerline,DESINA
REWE,V05,M 1565 - Lifty,DESINA
REWE,V05,M 1605 - Powerline,DESINA
REWE,V05,M 1606 - Derby,DESINA
REWE,V05,M 1608 - Derby,DESINA
REWE,V05,M 1610 bis 1613 Energy,DESINA
REWE,V05,M 1631 - Galaxxy,DESINA
REWE,V05,M 1632 - Galaxxy,DESINA
REWE,V05,M 1710 - Energy,DESINA
REWE,V05,M 1800 - Energy,DESINA
REWE,V05,M 1805 - Powerline,DESINA
REWE,V05,M 1806 - Powerline,DESINA
REWE,V05,M 1808 - Powerline,DESINA
REWE,V05,M 1890 - Avanty,DESINA
REWE,V05,M 1891 - Avanty,DESINA
REWE,V05,M 1900 - Avanty,DESINA
REWE,V05,M 2000 - Avanty,DESINA
REWE,V05,"M 2012-1, 2012-5",DESINA
REWE,V05,M 2012-2,DESINA
REWE,V05,M 2200 - Avanty,DESINA
REWE,V05,M 3050 - Classic,DESINA
REWE,V05,M 3055 - Classic,DESINA
REWE,V05,M 3200 - Black Label,DESINA
REWE,V05,M 3210 - Black Label,DESINA
REWE,V05,M 3320,DESINA
REWE,V05,M 7000 - Allegra,DESINA
REWE,V05,M 7004,DESINA
REWE,V05,M 7005,DESINA
REWE,V05,M 7006 (>A),DESINA
REWE,V05,M 7009 - Paroly,DESINA
REWE,V05,M 7010 - Bagline 2.8 P (>B),DESINA
REWE,V05,M 7011 - Skuppy,DESINA
REWE,V05,M 7012 - Popster,DESINA
REWE,V05,M 7013,DESINA
REWE,V05,M 7017 - Mustang,DESINA
REWE,V05,M 7018 (>A),DESINA
REWE,V05,M 7019 - Lifty,DESINA
REWE,V05,M 7020 - Bagline 2.8 P,DESINA
REWE,V05,M 7021-5 - Derby,DESINA
REWE,V05,M 7023 - Rocco,DESINA
REWE,V05,M 7025 - Bagline,DESINA
REWE,V05,M 7030 - Bagline,DESINA
REWE,V05,M 7050 - Fello & Friend Bag,DESINA
REWE,V05,M 7055 - Bagline,DESINA
REWE,V05,M 7059 - Bagline,DESINA
REWE,V05,M 7060 - Bagline 2.6 i,DESINA
REWE,V05,M 7066 - Cargo,DESINA
REWE,V05,M 7070 - Bagline,DESINA
REWE,V05,M 7075 - Vito 5.0,DESINA
REWE,V05,M 7080 - Pico bello,DESINA
REWE,V05,M 7098 - Fantasy,DESINA
REWE,V05,M 7099 - Azury,DESINA
REWE,V05,M 7100 - EQU,DESINA
REWE,V05,M 7101 - EQU 2,DESINA
REWE,V05,M 7103 - EQU 2,DESINA
REWE,V05,M 7105 - EQU,DESINA
REWE,V05,M 7109 - EQU 2,DESINA
REWE,V05,M 7110 - Mustang,DESINA
REWE,V05,M 7111 - Fello & Friend MT,DESINA
REWE,V05,M 7118 - Matrixx,DESINA
REWE,V05,M 7120 - EQU Silence,DESINA
REWE,V05,M 7122 - EQU Silence,DESINA
REWE,V05,M 7123 - EQU Silence BG,DESINA
REWE,V05,M 8000 - Galileo,DESINA
REWE,V05,M 8020 - R1,DESINA
REWE,V05,M 8028 - R1,DESINA
REWE,V05,M 8030 - R9,DESINA
REWE,V05,M 8038 - R9,DESINA
REWE,V05,M 8220 - R4,DESINA
REWE,V05,M 8230 - R3,DESINA
REWE,V05,M 8238 - R3,DESINA
REWE,V05,MA 3050-1 Activity Control,DESINA
REWE,V05,DO 72465,DOMO
REWE,V05,DO 7261S,DOMO
REWE,V05,Green Power,DOMO
REWE,V05,DAA 039,DUNRITE
REWE,V05,BS 2000 W,DURABRA
REWE,V05,BS 2000 W.1,DURABRA
REWE,V05,BS 7702,DURABRA
REWE,V05,BS 7703,DURABRA
REWE,V05,PS 1800 W,DURABRA
